output,Id,Species,hit_count,x,y
1,[40],['Iris-setosa'],1,1.0,0.0
2,[29],['Iris-setosa'],1,0.0,1.0
5,[50],['Iris-setosa'],1,1.0,2.0
13,[36],['Iris-setosa'],1,1.0,4.0
20,[8],['Iris-setosa'],1,2.0,0.0
29,"[28, 37]","['Iris-setosa', 'Iris-setosa']",2,-2.0,0.0
31,"[10, 35, 38]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa']",3,4.0,4.0
41,"[21, 32]","['Iris-setosa', 'Iris-setosa']",2,-1.0,-3.0
51,[3],['Iris-setosa'],1,2.0,7.0
54,[26],['Iris-setosa'],1,5.0,6.0
64,"[27, 44]","['Iris-setosa', 'Iris-setosa']",2,2.0,-3.0
71,[49],['Iris-setosa'],1,-4.0,-1.0
75,[2],['Iris-setosa'],1,6.0,6.0
76,[13],['Iris-setosa'],1,5.0,7.0
94,[11],['Iris-setosa'],1,-4.0,-2.0
99,[22],['Iris-setosa'],1,-5.0,2.0
102,"[1, 18]","['Iris-setosa', 'Iris-setosa']",2,-2.0,2.0
107,[48],['Iris-setosa'],1,1.0,8.0
112,[41],['Iris-setosa'],1,-2.0,4.0
124,"[20, 47]","['Iris-setosa', 'Iris-setosa']",2,-6.0,1.0
130,"[15, 16, 17, 33, 34]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa']",5,-6.0,-2.0
143,[31],['Iris-setosa'],1,6.0,1.0
145,[6],['Iris-setosa'],1,-7.0,-2.0
153,[19],['Iris-setosa'],1,-7.0,-3.0
156,[65],['Iris-versicolor'],1,-5.0,-6.0
158,[45],['Iris-setosa'],1,-6.0,2.0
161,[5],['Iris-setosa'],1,-3.0,4.0
163,[43],['Iris-setosa'],1,1.0,10.0
169,"[12, 25]","['Iris-setosa', 'Iris-setosa']",2,5.0,-3.0
173,[24],['Iris-setosa'],1,2.0,-4.0
183,[80],['Iris-versicolor'],1,-3.0,-6.0
200,[83],['Iris-versicolor'],1,-7.0,-6.0
209,"[73, 84, 120]","['Iris-versicolor', 'Iris-versicolor', 'Iris-virginica']",3,-11.0,-2.0
210,[64],['Iris-versicolor'],1,-10.0,-3.0
212,[79],['Iris-versicolor'],1,-10.0,0.0
219,[72],['Iris-versicolor'],1,-8.0,-6.0
220,"[68, 93]","['Iris-versicolor', 'Iris-versicolor']",2,-7.0,-7.0
233,"[81, 82]","['Iris-versicolor', 'Iris-versicolor']",2,-2.0,-8.0
235,[127],['Iris-virginica'],1,-12.0,-3.0
238,[139],['Iris-virginica'],1,-12.0,0.0
247,[46],['Iris-setosa'],1,8.0,4.0
248,[135],['Iris-virginica'],1,-14.0,-2.0
249,"[124, 134, 147]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica']",3,-13.0,-3.0
250,[100],['Iris-versicolor'],1,-7.0,-8.0
252,[128],['Iris-virginica'],1,-13.0,0.0
253,[92],['Iris-versicolor'],1,-10.0,-4.0
255,[86],['Iris-versicolor'],1,-10.0,1.0
263,[112],['Iris-virginica'],1,-14.0,-3.0
265,[104],['Iris-virginica'],1,-15.0,-2.0
268,"[58, 61, 94]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",3,2.0,-8.0
271,"[63, 70]","['Iris-versicolor', 'Iris-versicolor']",2,-4.0,-8.0
273,[74],['Iris-versicolor'],1,-10.0,-5.0
276,"[117, 138]","['Iris-virginica', 'Iris-virginica']",2,-15.0,-3.0
278,[4],['Iris-setosa'],1,4.0,9.0
280,"[56, 62]","['Iris-versicolor', 'Iris-versicolor']",2,-10.0,2.0
282,"[69, 88]","['Iris-versicolor', 'Iris-versicolor']",2,-9.0,-7.0
284,"[75, 98]","['Iris-versicolor', 'Iris-versicolor']",2,-10.0,-6.0
287,[99],['Iris-versicolor'],1,3.0,-7.0
289,[71],['Iris-versicolor'],1,-12.0,1.0
291,"[52, 55, 59, 66, 76]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",5,-11.0,-6.0
292,"[91, 95]","['Iris-versicolor', 'Iris-versicolor']",2,-7.0,-9.0
299,"[9, 14, 39]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa']",3,1.0,12.0
304,[109],['Iris-virginica'],1,-16.0,-3.0
307,[57],['Iris-versicolor'],1,-12.0,-6.0
309,"[67, 85]","['Iris-versicolor', 'Iris-versicolor']",2,-10.0,3.0
310,"[102, 114, 115, 122, 143, 150]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",6,-13.0,1.0
312,[148],['Iris-virginica'],1,-15.0,-5.0
314,"[7, 23]","['Iris-setosa', 'Iris-setosa']",2,0.0,8.0
315,[42],['Iris-setosa'],1,10.0,5.0
317,"[54, 60, 90, 107]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-virginica']",4,-5.0,-9.0
318,[113],['Iris-virginica'],1,-16.0,-4.0
319,"[89, 96, 97]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",3,-9.0,4.0
322,"[101, 121, 125, 141, 144, 145]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",6,-17.0,-1.0
323,"[105, 129, 133]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica']",3,-16.0,0.0
326,"[116, 137, 149]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica']",3,-15.0,1.0
328,[30],['Iris-setosa'],1,6.0,0.0
331,"[103, 106, 108, 110, 118, 119, 123, 126, 130, 131, 132, 136]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",12,-18.0,-2.0
336,"[140, 142, 146]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica']",3,-16.0,-5.0
337,[111],['Iris-virginica'],1,-15.0,-6.0
338,"[51, 53, 77, 78, 87]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",5,-14.0,-7.0
