output,Sample_ID,Class,hit_count,x,y
2,['Wine_156'],[3],1,0.0,1.0
3,['Wine_116'],[2],1,0.0,0.0
10,['Wine_86'],[2],1,-2.0,0.0
14,['Wine_91'],[2],1,2.0,2.0
18,"['Wine_83', 'Wine_160', 'Wine_165']","[2, 3, 3]",3,2.0,-1.0
31,['Wine_170'],[3],1,-4.0,0.0
33,['Wine_84'],[2],1,-3.0,-1.0
34,['Wine_63'],[2],1,2.0,4.0
39,['Wine_107'],[2],1,4.0,1.0
43,['Wine_71'],[2],1,1.0,5.0
47,['Wine_127'],[2],1,-2.0,2.0
48,['Wine_103'],[2],1,0.0,5.0
61,['Wine_113'],[2],1,-2.0,4.0
70,['Wine_87'],[2],1,3.0,-3.0
77,['Wine_138'],[3],1,2.0,-4.0
79,['Wine_97'],[2],1,5.0,4.0
81,['Wine_143'],[3],1,-2.0,-3.0
90,['Wine_164'],[3],1,2.0,-5.0
94,['Wine_72'],[2],1,6.0,2.0
100,['Wine_137'],[3],1,-5.0,0.0
110,['Wine_172'],[3],1,2.0,-7.0
112,"['Wine_62', 'Wine_120']","[2, 2]",2,-3.0,-5.0
117,['Wine_99'],[2],1,-1.0,7.0
119,['Wine_114'],[2],1,3.0,7.0
123,['Wine_123'],[2],1,1.0,8.0
126,['Wine_142'],[3],1,-6.0,0.0
132,['Wine_115'],[2],1,5.0,5.0
149,"['Wine_132', 'Wine_177']","[3, 3]",2,-4.0,-3.0
153,"['Wine_101', 'Wine_119']","[2, 2]",2,5.0,-3.0
154,['Wine_148'],[3],1,-2.0,-6.0
163,['Wine_158'],[3],1,-1.0,-6.0
166,['Wine_167'],[3],1,2.0,-8.0
175,['Wine_136'],[3],1,2.0,-9.0
176,['Wine_139'],[3],1,-6.0,-4.0
178,['Wine_159'],[3],1,5.0,-6.0
183,['Wine_171'],[3],1,7.0,3.0
188,['Wine_140'],[3],1,-7.0,-4.0
193,['Wine_75'],[2],1,-4.0,6.0
202,['Wine_153'],[3],1,-3.0,-7.0
206,['Wine_135'],[3],1,0.0,-8.0
207,['Wine_155'],[3],1,1.0,-9.0
213,"['Wine_60', 'Wine_65', 'Wine_109']","[2, 2, 2]",3,-4.0,-7.0
218,['Wine_134'],[3],1,5.0,-7.0
226,['Wine_111'],[2],1,3.0,11.0
231,['Wine_128'],[2],1,0.0,11.0
232,['Wine_102'],[2],1,-5.0,6.0
241,['Wine_59'],[2],1,7.0,-1.0
246,['Wine_81'],[2],1,4.0,-10.0
252,['Wine_104'],[2],1,5.0,-8.0
253,['Wine_173'],[3],1,0.0,-9.0
258,"['Wine_61', 'Wine_85']","[2, 2]",2,-7.0,4.0
270,['Wine_21'],[1],1,0.0,-10.0
277,['Wine_154'],[3],1,-7.0,-6.0
282,"['Wine_23', 'Wine_38']","[1, 1]",2,1.0,-13.0
284,['Wine_100'],[2],1,-5.0,-8.0
286,['Wine_98'],[2],1,6.0,-8.0
289,"['Wine_24', 'Wine_145']","[1, 3]",2,0.0,-11.0
297,"['Wine_168', 'Wine_174']","[3, 3]",2,-5.0,-9.0
301,['Wine_152'],[3],1,-6.0,7.0
302,['Wine_125'],[2],1,5.0,8.0
304,"['Wine_43', 'Wine_161']","[1, 3]",2,-7.0,-7.0
308,['Wine_147'],[3],1,6.0,-6.0
312,['Wine_79'],[2],1,-7.0,3.0
316,['Wine_157'],[3],1,-2.0,-11.0
317,['Wine_112'],[2],1,-8.0,-4.0
321,['Wine_92'],[2],1,10.0,2.0
324,['Wine_126'],[2],1,6.0,10.0
329,['Wine_105'],[2],1,3.0,13.0
334,['Wine_76'],[2],1,7.0,7.0
337,['Wine_42'],[1],1,1.0,-14.0
340,['Wine_35'],[1],1,-1.0,-12.0
361,['Wine_70'],[2],1,-3.0,-11.0
362,['Wine_28'],[1],1,-2.0,-12.0
364,['Wine_68'],[2],1,-6.0,-9.0
366,['Wine_88'],[2],1,6.0,-9.0
367,['Wine_32'],[1],1,-1.0,-13.0
368,['Wine_46'],[1],1,0.0,-14.0
369,['Wine_2'],[1],1,1.0,-15.0
371,['Wine_162'],[3],1,-9.0,-2.0
377,['Wine_163'],[3],1,-8.0,-7.0
378,['Wine_48'],[1],1,4.0,-14.0
380,['Wine_141'],[3],1,6.0,-11.0
383,"['Wine_56', 'Wine_73']","[1, 2]",2,-2.0,-13.0
385,"['Wine_96', 'Wine_130']","[2, 3]",2,-9.0,-5.0
387,['Wine_118'],[2],1,6.0,9.0
391,['Wine_124'],[2],1,6.0,8.0
394,['Wine_129'],[2],1,8.0,-4.0
395,['Wine_151'],[3],1,-9.0,2.0
397,['Wine_133'],[3],1,-10.0,-4.0
400,['Wine_47'],[1],1,5.0,-13.0
401,"['Wine_17', 'Wine_55']","[1, 1]",2,0.0,-15.0
404,['Wine_144'],[3],1,-4.0,-11.0
407,['Wine_122'],[2],1,-4.0,10.0
410,['Wine_77'],[2],1,-10.0,1.0
417,"['Wine_80', 'Wine_93']","[2, 2]",2,5.0,13.0
423,['Wine_20'],[1],1,-6.0,-10.0
428,['Wine_108'],[2],1,4.0,14.0
434,"['Wine_11', 'Wine_16', 'Wine_27', 'Wine_30', 'Wine_58']","[1, 1, 1, 1, 1]",5,3.0,-16.0
435,"['Wine_36', 'Wine_44', 'Wine_74']","[1, 1, 2]",3,-4.0,-12.0
436,"['Wine_13', 'Wine_50']","[1, 1]",2,0.0,-16.0
439,"['Wine_1', 'Wine_8', 'Wine_9']","[1, 1, 1]",3,6.0,-14.0
440,"['Wine_26', 'Wine_52']","[1, 1]",2,5.0,-15.0
441,['Wine_66'],[2],1,10.0,0.0
442,"['Wine_67', 'Wine_106']","[2, 2]",2,9.0,-1.0
443,['Wine_49'],[1],1,2.0,-16.0
444,['Wine_33'],[1],1,1.0,-17.0
445,"['Wine_51', 'Wine_57']","[1, 1]",2,4.0,-16.0
450,['Wine_146'],[3],1,9.0,6.0
451,['Wine_94'],[2],1,-1.0,12.0
452,['Wine_89'],[2],1,9.0,-6.0
455,['Wine_95'],[2],1,-4.0,-13.0
457,"['Wine_0', 'Wine_45', 'Wine_54']","[1, 1, 1]",3,-2.0,-15.0
463,"['Wine_64', 'Wine_117']","[2, 2]",2,-3.0,11.0
465,['Wine_4'],[1],1,-8.0,-9.0
471,['Wine_150'],[3],1,-10.0,2.0
472,['Wine_37'],[1],1,-1.0,-16.0
474,['Wine_90'],[2],1,10.0,3.0
477,"['Wine_6', 'Wine_7', 'Wine_12', 'Wine_15']","[1, 1, 1, 1]",4,3.0,-17.0
480,['Wine_121'],[2],1,-9.0,4.0
483,"['Wine_22', 'Wine_29', 'Wine_41']","[1, 1, 1]",3,7.0,-14.0
485,"['Wine_39', 'Wine_78']","[1, 2]",2,-8.0,-10.0
488,['Wine_131'],[3],1,-12.0,0.0
489,['Wine_149'],[3],1,-11.0,-1.0
490,"['Wine_19', 'Wine_25', 'Wine_175', 'Wine_176']","[1, 1, 3, 3]",4,-6.0,-12.0
494,"['Wine_69', 'Wine_166']","[2, 3]",2,-10.0,-8.0
496,['Wine_40'],[1],1,-7.0,-11.0
498,['Wine_82'],[2],1,9.0,-7.0
499,"['Wine_3', 'Wine_5', 'Wine_10', 'Wine_14', 'Wine_18', 'Wine_31', 'Wine_53']","[1, 1, 1, 1, 1, 1, 1]",7,4.0,-17.0
500,['Wine_110'],[2],1,-11.0,-2.0
507,['Wine_34'],[1],1,-2.0,-16.0
512,['Wine_169'],[3],1,-12.0,-5.0
